"map_code","map","columns_xl","columns_r","total","n_instructions","difference","n_counties","max_count"
"Map1","Map1_Clovis_Untyped_Fluted","EG, EJ","CLOVIS_FORMS, OTHER_FLUTED_UNTYPED",16305,16317,-12,2026,403
"Map1a","Map1a_Clovis_Forms","EJ","CLOVIS_FORMS",8823,8817,6,1463,261
"Map1b","Map1b_Other_Fluted_Untyped","EG","OTHER_FLUTED_UNTYPED",7482,7500,-18,903,403
"Map2","Map2_Non_Clovis_Fluted","N, O, P, Q, R, S, T, U, V, W, X, Y, Z, AA, AB, AC, AD","WAISTED_FLUTED, FISHTAIL, FOLSOM, MIDLAND, REDSTONE, CUMBERLAND, GAINEY, WHEELER, PELICAN, WEST_ATHENS_HILL, BULL_BROOK, Vail_DEBERT, BARNES, NORTHUMBERLAND, MICHAUD_NEPONSET, CROWFIELD, HOLCOMB_NICOLAS",9020,9008,12,1176,354
"Map2a","Map2a_Folsom_Midland","P, Q","FOLSOM, MIDLAND",5377,5377,0,588,354
"Map2a1","Map2a1_Folsom","P","FOLSOM",4661,4661,0,571,354
"Map2a2","Map2a2_Midland","Q","MIDLAND",716,716,0,127,106
"Map2b","Map2b_Redstone","R","REDSTONE",440,440,0,189,20
"Map2c","Map2c_Cumberland","S","CUMBERLAND",993,916,77,179,132
"Map2d","Map2d_Gainey","T","GAINEY",471,466,5,162,65
"Map2Minor","Map2Minor_Other_Minor_Fluted","N, O, U, V, W, X, Y, Z, AA, AB, AC, AD","WAISTED_FLUTED, FISHTAIL, WHEELER, PELICAN, WEST_ATHENS_HILL, BULL_BROOK, Vail_DEBERT, BARNES, NORTHUMBERLAND, MICHAUD_NEPONSET, CROWFIELD, HOLCOMB_NICOLAS",1739,1732,7,320,192
"Map2e","Map2e_Michaud_Neponset","AB","MICHAUD_NEPONSET",421,421,0,88,90
"Map2f","Map2f_Holcombe_Nicholas","AD","HOLCOMB_NICOLAS",368,368,0,73,192
"Map2g","Map2g_Minor_Non_Clovis_Fluted","N, O, U, V, W, X, Y, Z, AA, AC","BARNES, CROWFIELD, PELICAN, Vail_DEBERT, WEST_ATHENS_HILL, BULL_BROOK, WHEELER, NORTHUMBERLAND, WAISTED_FLUTED, FISHTAIL",950,943,7,251,96
"Map2g1","Map2g1_Barnes","Z","BARNES",195,192,3,77,18
"Map2g2","Map2g2_Crowfield","AC","CROWFIELD",164,160,4,81,30
"Map2g3","Map2g3_Pelican","V","PELICAN",146,146,0,28,26
"Map2g4","Map2g4_Vail_Debert","Y","Vail_DEBERT",120,120,0,25,82
"Map2g5","Map2g5_West_Athens_Hill_Bull_Brook","W, X","WEST_ATHENS_HILL, BULL_BROOK",116,116,0,9,96
"Map2g6","Map2g6_Wheeler","U","WHEELER",72,72,0,29,20
"Map2g7","Map2g7_Northumberland","AA","NORTHUMBERLAND",54,54,0,22,8
"Map2g8","Map2g8_Waisted_Fluted","N","WAISTED_FLUTED",45,45,0,11,34
"Map2g9","Map2g9_Fish_Tail","O","FISHTAIL",38,38,0,22,8
"Map3","Map3_Unfluted_Lanceolate_Forms","AE, AF, AG, AH, AI, AJ, AK, AL, AM, AN, AO, AP, AQ, AR, AS, AT, AU, AV, AW, AX, AY, AZ, BA, BB, BC, BD, ED, EE, EF","SUWANNEE, SIMPSON, BEAVER_LAKE, QUAD, COLDWATER, HINDS, ARKABUTLA, GOSHEN, AGATE_BASIN, HELL_GAP, WILSON, ANGOSTURA, SCOTTSBLUFF, MILNESAND, ALBERTA, BROWNS_VALLEY, JIMMY_ALLEN_FREDERICK, EDEN, CODY, CODY_KNIFE, PLAINVIEW, PACKARD, PRYOR_STEMMED, LOVELL_CONSTRICTED, UNFLUTED_LANCEOLATE, STE_ANNE_VARNEY, MESA, SLUICEWAY, CHINDADN",9601,9574,27,881,227
"Map3a","Map3a_Unfluted_Lanceolate","BC","UNFLUTED_LANCEOLATE",1129,1129,0,262,96
"Map3b","Map3b_Agate_Basin","AM","AGATE_BASIN",1088,1082,6,236,128
"Map3c","Map3c_Plainview","AY","PLAINVIEW",812,812,0,151,100
"Map3d","Map3d_Cody_And_Cody_Knife","AW, AX","CODY, CODY_KNIFE",763,763,0,175,60
"Map3d1","Map3d1_Cody","AW","CODY",643,643,0,161,45
"Map3d2","Map3d2_Cody_Knife","AX","CODY_KNIFE",120,120,0,28,30
"Map3e","Map3e_Angostura","AP","ANGOSTURA",427,427,0,91,73
"Map3f","Map3f_Jimmy_Allen_Frederick","AU","JIMMY_ALLEN_FREDERICK",421,421,0,44,96
"Map3g","Map3g_Scottsbluff","AQ","SCOTTSBLUFF",363,363,0,110,36
"Map3h","Map3h_Hell_Gap","AN","HELL_GAP",316,316,0,91,59
"Map3i","Map3i_Minor_Western_Lanceolate","AL, AO, AR, AS, AV, BA, ED, EE, EF","EDEN, MILNESAND, ALBERTA, GOSHEN, PRYOR_STEMMED, WILSON, MESA, SLUICEWAY, CHINDADN",1250,1250,0,151,154
"Map3i1","Map3i1_Eden","AV","EDEN",255,255,0,37,70
"Map3i2","Map3i2_Milnesand","AR","MILNESAND",143,143,0,23,109
"Map3i3","Map3i3_Alberta","AS","ALBERTA",128,128,0,41,39
"Map3i4","Map3i4_Goshen","AL","GOSHEN",117,117,0,32,22
"Map3i5","Map3i5_Pryor_Stemmed","BA","PRYOR_STEMMED",85,85,0,11,37
"Map3i6","Map3i6_Wilson","AO","WILSON",74,74,0,24,23
"Map3i7","Map3i7_Mesa","ED","MESA",157,157,0,3,154
"Map3i8","Map3i8_Sluiceway","EE","SLUICEWAY",213,213,0,5,117
"Map3i9","Map3i9_Chindadn","EF","CHINDADN",78,78,0,11,24
"Map3j","Map3j_Suwannee","AE","SUWANNEE",723,723,0,90,128
"Map3k","Map3k_Simpson","AF","SIMPSON",492,492,0,96,74
"Map3l","Map3l_Beaver_Lake","AG","BEAVER_LAKE",731,715,16,119,129
"Map3m","Map3m_Quad","AH","QUAD",702,702,0,115,82
"Map3n","Map3n_Ste_Anne_Varney","BD","STE_ANNE_VARNEY",136,131,5,24,35
"Map3o","Map3o_Minor_Eastern_Lanceolate","AI, AJ, AK","COLDWATER, HINDS, ARKABUTLA",203,203,0,29,32
"Map3o1","Map3o1_Coldwater","AI","COLDWATER",124,124,0,19,30
"Map3o2","Map3o2_Hinds","AJ","HINDS",70,70,0,16,17
"Map3o3","Map3o3_Arkabutla","AK","ARKABUTLA",9,9,0,7,2
"Map4","Map4_Western_Stemmed","DD, DE, DF, DG, DH, DI, DJ, DK, DL, DM, DN, DO, DP, DQ, DR, DS, DT","TAAN, XIL, XILJU, CI_AMOL, CI_BARBED, COOPERS_FERRY, HASKETT, COUGAR_MTN, WINDUST, CASCADE, PARMAN, LIND_COULEE, LAKE_MOHAVE, BONNEVILLE, SILVER_LAKE_, STUBBY, GBSS_GENERALIZED_WST",4832,4832,0,71,999
"Map4a","Map4a_Coastal_Western_Stemmed","DD, DE, DF, DG, DH","TAAN, XIL, XILJU, CI_AMOL, CI_BARBED",122,122,0,3,86
"Map4a1","Map4a1_Taan","DD","TAAN",3,3,0,1,3
"Map4a2","Map4a2_Xil","DE","XIL",15,15,0,1,15
"Map4a3","Map4a3_Xilju","DF","XILJU",4,4,0,1,4
"Map4a4","Map4a4_CI_Amol","DG","CI_AMOL",3,3,0,2,2
"Map4a5","Map4a5_CI_Barbed","DH","CI_BARBED",97,97,0,2,84
"Map4b","Map4b_Generalized_Western_Stemmed","DT","GBSS_GENERALIZED_WST",1482,1482,0,42,569
"Map4c","Map4c_Lake_Mohave","DP","LAKE_MOHAVE",650,650,0,8,246
"Map4d","Map4d_Silver_Lake","DR","SILVER_LAKE_",511,511,0,13,210
"Map4e","Map4e_Windust","DL","WINDUST",529,529,0,26,284
"Map4f","Map4f_Bonneville","DQ","BONNEVILLE",389,389,0,3,382
"Map4g","Map4g_Parman","DN","PARMAN",380,360,20,13,125
"Map4h","Map4h_Cascade","DM","CASCADE",269,289,-20,15,97
"Map4i","Map4i_Haskett","DJ","HASKETT",194,194,0,17,55
"Map4j","Map4j_Cougar_Mountain","DK","COUGAR_MTN",181,181,0,10,127
"Map4k","Map4k_Stubby","DS","STUBBY",115,115,0,8,100
